Frame,TopLeftCornerX,TopLeftCornerY,suc,Length,Height
449,543.5,83.5,0,74,50
449,556.5,55.5,1,29,24
449,617.5,33.5,1,43,30
450,0.5,218.5,1,134,123
450,330.5,135.5,1,44,28
450,375.5,128.5,0,26,24
450,400.5,124.5,0,24,24
450,438.5,109.5,0,30,26
450,480.5,94.5,1,81,46
450,629.5,213.5,0,91,44
450,630.5,74.5,1,42,34
450,673.5,63.5,0,47,98
455,370.5,285.5,1,33,38
455,529.5,359.5,0,68,38
455,657.5,395.5,1,28,27
456,373.5,94.5,0,23,29
456,422.5,121.5,1,56,38
456,575.5,185.5,0,28,21
461,38.5,429.5,1,65,51
461,110.5,407.5,0,73,44
462,169.5,210.5,1,60,67
462,253.5,213.5,1,41,24
462,611.5,95.5,1,67,32
464,163.5,88.5,1,115,30
464,305.5,49.5,1,37,30
465,478.5,124.5,0,64,56
467,280.5,210.5,1,440,270
468,21.5,259.5,0,41,38
468,61.5,247.5,0,35,32
468,158.5,191.5,0,36,29
468,249.5,142.5,1,36,27
469,358.5,132.5,0,37,28
473,0.5,27.5,0,66,41
473,0.5,116.5,0,180,73
473,187.5,69.5,1,53,42
473,216.5,80.5,0,144,95
473,437.5,170.5,1,99,108
473,485.5,145.5,1,63,66
473,641.5,259.5,1,58,39
473,683.5,302.5,1,35,27
475,87.5,250.5,0,78,82
475,161.5,277.5,0,49,37
475,185.5,248.5,1,152,65
475,207.5,192.5,0,61,46
475,349.5,87.5,0,282,265
475,511.5,2.5,0,180,182
478,31.5,286.5,1,82,30
480,0.5,248.5,0,52,67
480,183.5,201.5,0,30,22
480,439.5,99.5,1,47,30
481,0.5,186.5,0,56,60
481,97.5,165.5,0,74,23
481,142.5,131.5,1,24,24
481,195.5,102.5,0,76,65
481,297.5,98.5,1,60,50
481,358.5,110.5,0,34,29
481,516.5,135.5,0,57,33
481,569.5,124.5,1,151,125
481,585.5,103.5,0,49,32
485,170.5,216.5,0,33,27
485,443.5,249.5,0,42,27
486,390.5,131.5,0,26,24
486,450.5,166.5,1,39,22
487,45.5,95.5,1,34,27
487,124.5,177.5,1,71,21
487,497.5,254.5,1,50,21
487,565.5,294.5,0,89,37
491,389.5,239.5,0,118,69
492,241.5,140.5,0,78,22
493,65.5,107.5,1,38,30
494,145.5,255.5,0,42,35
494,222.5,218.5,1,27,23
494,325.5,135.5,0,92,76
494,433.5,128.5,1,48,34
494,631.5,14.5,0,81,84
495,136.5,201.5,1,34,34
495,405.5,196.5,0,49,27
495,563.5,201.5,1,54,29
497,363.5,38.5,0,137,51
498,0.5,50.5,1,43,76
498,0.5,199.5,0,43,91
498,20.5,125.5,1,38,28
498,119.5,39.5,1,62,45
498,192.5,28.5,1,41,31
498,298.5,50.5,1,100,26
498,365.5,0.5,1,80,38
499,0.5,149.5,0,31,35
499,11.5,93.5,1,57,24
499,29.5,131.5,0,81,41
499,236.5,65.5,0,311,102
500,25.5,289.5,0,40,23
500,85.5,248.5,1,62,54
500,185.5,195.5,0,36,34
500,397.5,103.5,0,91,87
500,629.5,90.5,0,89,23
501,58.5,167.5,1,90,37
501,344.5,83.5,0,54,36
502,44.5,328.5,1,23,32
502,200.5,308.5,1,45,29
502,480.5,252.5,1,27,22
503,13.5,215.5,1,207,97
503,19.5,164.5,0,28,29
506,332.5,160.5,0,83,22
507,0.5,361.5,1,79,69
507,0.5,403.5,0,34,55
507,78.5,244.5,0,47,42
507,222.5,139.5,0,34,29
507,307.5,111.5,1,50,26
507,316.5,71.5,0,47,40
507,389.5,53.5,0,28,22
507,394.5,59.5,1,121,53
507,418.5,29.5,0,28,29
507,464.5,26.5,0,46,36
507,489.5,0.5,1,60,32
507,570.5,0.5,0,85,56
508,131.5,334.5,1,214,73
509,207.5,271.5,0,64,50
509,532.5,214.5,0,44,25
509,583.5,234.5,1,58,24
509,642.5,222.5,0,66,21
511,39.5,436.5,0,26,22
511,52.5,438.5,0,25,26
511,75.5,327.5,0,76,94
511,219.5,260.5,1,28,42
511,233.5,249.5,1,36,27
511,258.5,246.5,1,66,64
511,293.5,219.5,1,40,26
511,382.5,194.5,0,107,61
511,634.5,0.5,0,86,76
511,697.5,52.5,0,23,59
512,223.5,162.5,1,25,22
512,542.5,443.5,0,24,24
514,1.5,112.5,1,138,36
514,301.5,168.5,0,30,25
514,383.5,212.5,1,207,125
514,399.5,189.5,0,58,45
514,587.5,243.5,1,61,65
514,618.5,304.5,0,83,41
518,627.5,67.5,1,61,33
519,44.5,212.5,0,92,40
519,52.5,155.5,1,33,39
519,549.5,158.5,0,105,23
520,13.5,99.5,1,29,32
520,91.5,92.5,1,63,41
520,145.5,77.5,1,26,27
520,231.5,95.5,1,123,103
520,355.5,146.5,1,61,36
520,425.5,187.5,0,55,25
520,492.5,196.5,1,24,21
520,576.5,237.5,0,28,30
522,0.5,0.5,0,57,50
522,58.5,0.5,0,73,29
522,129.5,0.5,1,45,38
522,383.5,0.5,0,40,26
522,396.5,5.5,0,56,42
522,396.5,332.5,0,192,145
522,430.5,89.5,1,69,47
522,486.5,16.5,0,31,25
522,523.5,398.5,1,154,82
523,0.5,241.5,1,22,21
523,110.5,153.5,1,30,26
523,156.5,130.5,1,29,28
523,232.5,145.5,0,37,21
525,66.5,84.5,0,121,122
526,125.5,92.5,1,298,300
526,546.5,165.5,0,35,38
529,6.5,141.5,0,51,57
529,56.5,161.5,0,25,23
529,115.5,142.5,1,62,36
529,339.5,144.5,0,37,22
530,3.5,37.5,0,56,33
530,369.5,93.5,1,26,22
530,468.5,153.5,0,43,29
530,563.5,285.5,0,109,69
530,687.5,252.5,1,33,26
530,694.5,277.5,0,26,38
531,0.5,442.5,1,139,38
531,167.5,318.5,0,63,63
531,217.5,339.5,0,114,72
531,341.5,346.5,1,170,134
531,412.5,280.5,0,65,58
531,464.5,275.5,0,134,61
531,488.5,311.5,0,171,164
531,545.5,422.5,0,175,58
532,0.5,168.5,1,32,45
532,33.5,177.5,1,27,27
532,39.5,157.5,1,35,21
532,108.5,142.5,1,86,88
532,119.5,66.5,0,41,53
532,306.5,0.5,0,115,66
532,437.5,1.5,0,95,26
532,539.5,0.5,1,135,44
533,220.5,361.5,0,125,25
535,19.5,110.5,1,102,104
535,224.5,131.5,0,39,34
538,146.5,142.5,1,134,39
539,247.5,107.5,0,39,28
543,20.5,174.5,1,33,27
543,51.5,161.5,0,40,32
543,100.5,199.5,1,72,51
543,116.5,139.5,0,41,26
543,222.5,111.5,1,29,27
543,463.5,55.5,0,30,22
543,566.5,72.5,1,46,33
546,428.5,115.5,1,39,37
546,650.5,346.5,1,70,69
546,686.5,213.5,1,34,56
547,0.5,31.5,1,23,24
547,0.5,155.5,0,178,144
547,211.5,63.5,1,72,33
547,322.5,41.5,0,46,29
547,395.5,143.5,0,110,56
547,429.5,78.5,0,51,33
547,476.5,108.5,1,48,27
547,491.5,86.5,0,22,22
547,657.5,161.5,0,26,26
550,74.5,85.5,0,42,23
550,431.5,151.5,1,39,47
551,48.5,105.5,0,62,26
551,59.5,72.5,1,40,34
551,119.5,97.5,1,48,43
551,163.5,100.5,1,56,60
551,164.5,160.5,1,94,33
551,298.5,162.5,0,47,26
551,316.5,205.5,0,76,28
551,667.5,296.5,1,34,27
552,35.5,188.5,0,26,25
552,92.5,168.5,0,37,36
552,213.5,216.5,0,103,27
552,419.5,148.5,1,54,25
552,582.5,110.5,0,52,52
552,678.5,134.5,0,42,37
554,373.5,127.5,1,68,45
556,259.5,340.5,0,22,27
558,162.5,124.5,0,30,21
558,203.5,83.5,1,50,30
558,317.5,18.5,0,55,56
558,376.5,40.5,1,130,52
559,29.5,439.5,0,25,28
559,60.5,395.5,0,49,67
559,101.5,381.5,1,63,68
559,138.5,402.5,0,33,35
559,219.5,261.5,0,112,113
559,298.5,245.5,0,43,35
559,416.5,190.5,0,39,45
559,417.5,202.5,1,61,50
559,563.5,54.5,1,72,70
559,689.5,51.5,1,31,78
559,696.5,0.5,1,24,33
560,363.5,30.5,0,30,23
560,500.5,102.5,0,41,43
563,332.5,292.5,0,90,51
565,690.5,295.5,1,30,21
566,237.5,232.5,0,95,28
566,361.5,167.5,1,71,44
566,468.5,158.5,0,100,62
566,668.5,150.5,1,37,21
567,229.5,76.5,0,100,26
567,545.5,74.5,1,27,30
567,699.5,191.5,0,21,30
568,382.5,142.5,1,65,25
569,297.5,76.5,0,90,33
569,361.5,127.5,1,69,50
569,423.5,130.5,0,76,77
571,365.5,271.5,1,82,21
572,0.5,455.5,1,39,23
572,69.5,404.5,1,43,37
572,69.5,447.5,1,115,33
573,0.5,233.5,1,42,28
573,24.5,122.5,0,124,138
573,298.5,179.5,1,111,28
573,566.5,163.5,0,117,95
573,699.5,75.5,0,21,62
574,200.5,147.5,0,23,22
575,40.5,59.5,1,22,23
575,467.5,90.5,0,109,34
576,562.5,179.5,0,37,24
577,458.5,115.5,0,24,22
578,407.5,204.5,1,49,29
578,481.5,216.5,0,72,41
578,516.5,244.5,1,133,81
580,266.5,205.5,1,250,116
580,491.5,123.5,1,166,139
581,0.5,304.5,1,25,23
581,95.5,92.5,0,129,149
581,316.5,82.5,0,27,22
581,397.5,56.5,1,38,32
582,0.5,260.5,0,46,38
582,684.5,184.5,0,36,24
584,0.5,405.5,0,107,75
584,20.5,154.5,1,72,31
584,71.5,0.5,0,74,53
584,91.5,150.5,0,60,25
584,134.5,22.5,1,144,166
584,269.5,35.5,0,28,22
584,314.5,28.5,0,83,57
584,367.5,59.5,1,95,61
584,459.5,106.5,0,57,21
584,506.5,77.5,1,28,25
584,607.5,124.5,0,53,54
586,87.5,99.5,0,67,29
586,462.5,102.5,1,34,22
588,90.5,13.5,0,69,34
589,616.5,238.5,0,24,22
589,640.5,221.5,0,42,30
592,0.5,87.5,0,31,23
592,32.5,78.5,1,75,51
592,218.5,179.5,1,46,24
592,290.5,188.5,1,21,21
592,398.5,233.5,1,45,36
592,502.5,283.5,0,40,38
592,595.5,323.5,0,68,60
593,46.5,95.5,0,29,24
595,157.5,171.5,1,43,34
595,224.5,140.5,0,40,36
595,302.5,157.5,1,79,48
595,316.5,129.5,0,45,32
595,388.5,114.5,1,87,45
597,300.5,69.5,0,79,40
597,411.5,93.5,1,51,23
598,142.5,383.5,0,200,97
598,262.5,146.5,1,70,89
598,386.5,147.5,0,36,27
599,200.5,17.5,1,92,50
600,236.5,208.5,0,208,112
601,150.5,265.5,1,59,25
601,301.5,245.5,1,32,28
601,477.5,189.5,1,52,49
602,0.5,47.5,1,56,74
602,55.5,54.5,1,29,25
602,129.5,9.5,0,90,83
602,687.5,148.5,1,33,25
602,699.5,231.5,0,21,26
604,68.5,216.5,0,69,69
604,204.5,170.5,0,46,30
604,261.5,82.5,1,293,250
604,420.5,48.5,0,84,66
604,567.5,34.5,0,42,40
605,145.5,146.5,0,62,25
605,230.5,31.5,1,40,29
605,273.5,33.5,0,28,26
606,499.5,40.5,1,60,36
606,526.5,43.5,1,57,30
606,629.5,75.5,1,41,21
607,21.5,199.5,1,119,35
607,167.5,164.5,0,91,58
608,481.5,371.5,0,37,34
609,144.5,277.5,1,88,37
609,435.5,228.5,0,32,23
610,611.5,119.5,0,25,24
610,669.5,104.5,0,26,22
611,622.5,111.5,1,32,25
611,660.5,110.5,0,25,23
612,0.5,336.5,0,74,143
612,428.5,215.5,1,97,56
617,606.5,3.5,0,51,38
618,0.5,75.5,0,169,83
618,306.5,130.5,1,147,60
619,46.5,342.5,0,70,42
619,226.5,293.5,1,25,21
619,252.5,296.5,0,34,30
619,344.5,420.5,0,142,33
619,539.5,298.5,1,109,77
620,0.5,311.5,0,27,56
620,65.5,131.5,0,81,97
620,282.5,242.5,0,438,238
620,311.5,53.5,0,73,55
620,501.5,0.5,1,77,31
620,541.5,154.5,1,179,189
625,117.5,197.5,1,36,21
626,0.5,155.5,1,54,30
626,114.5,97.5,0,34,28
626,265.5,186.5,0,256,127
626,326.5,267.5,0,77,52
628,0.5,101.5,1,62,43
628,23.5,33.5,0,60,62
628,131.5,64.5,1,45,36
628,213.5,116.5,0,102,76
628,272.5,257.5,1,212,103
628,305.5,132.5,0,82,88
628,373.5,183.5,1,83,69
628,481.5,348.5,0,211,132
628,609.5,335.5,1,38,31
631,391.5,154.5,0,43,41
631,551.5,220.5,1,46,36
631,685.5,297.5,0,35,29
633,210.5,207.5,1,57,24
633,395.5,163.5,1,44,28
633,510.5,127.5,1,150,60
634,3.5,185.5,1,127,131
634,424.5,287.5,1,171,76
634,593.5,103.5,0,43,28
635,322.5,65.5,1,24,21
635,525.5,151.5,0,38,24
635,653.5,192.5,0,31,35
635,684.5,200.5,0,36,47
636,432.5,330.5,1,46,32
636,443.5,427.5,0,155,53
636,450.5,313.5,0,128,121
636,588.5,429.5,0,66,47
637,72.5,226.5,1,46,24
638,503.5,157.5,0,217,230
640,72.5,162.5,1,107,67
640,158.5,223.5,1,65,34
640,223.5,240.5,1,51,36
640,281.5,254.5,1,60,25
640,348.5,267.5,0,30,22
640,429.5,374.5,0,89,41
640,641.5,452.5,1,76,28
643,0.5,42.5,0,166,104
643,150.5,30.5,0,65,29
643,209.5,20.5,0,63,50
643,524.5,184.5,1,35,22
643,577.5,189.5,0,33,34
644,39.5,402.5,0,37,39
644,49.5,278.5,1,50,30
644,72.5,288.5,0,271,179
644,90.5,162.5,0,144,139
644,232.5,186.5,1,41,31
644,544.5,172.5,0,62,21
645,356.5,224.5,1,24,23
645,393.5,208.5,0,22,23
646,131.5,133.5,0,93,27
646,278.5,165.5,1,315,171
646,321.5,82.5,0,33,30
646,406.5,68.5,0,93,82
646,520.5,122.5,0,43,26
646,529.5,155.5,0,74,47
646,563.5,118.5,1,39,25
646,629.5,99.5,1,63,72
648,499.5,163.5,1,221,317
650,0.5,169.5,1,358,311
650,35.5,21.5,0,150,74
650,138.5,37.5,0,42,25
651,131.5,217.5,0,52,40
651,176.5,267.5,1,55,29
651,179.5,206.5,0,32,32
651,181.5,239.5,1,48,21
651,311.5,168.5,0,45,30
651,684.5,82.5,1,21,21
652,515.5,113.5,0,42,26
653,501.5,244.5,1,65,32
656,0.5,109.5,0,21,29
656,142.5,206.5,1,121,128
656,253.5,317.5,0,69,50
656,321.5,338.5,1,200,103
656,368.5,318.5,0,47,25
656,422.5,358.5,1,287,122
660,0.5,161.5,1,139,57
660,88.5,119.5,1,31,27
660,381.5,151.5,1,43,30
660,506.5,210.5,1,42,43
660,583.5,272.5,0,68,28
662,42.5,225.5,1,71,98
662,479.5,158.5,0,38,21
662,624.5,249.5,0,75,62
663,19.5,197.5,0,75,75
663,57.5,175.5,1,73,68
663,358.5,187.5,0,100,22
663,647.5,135.5,0,73,30
664,677.5,311.5,0,35,24
668,20.5,182.5,1,70,44
669,63.5,0.5,0,23,23
671,578.5,158.5,1,37,21
673,179.5,85.5,1,30,26
673,640.5,179.5,1,44,35
674,602.5,418.5,1,30,62
674,680.5,372.5,0,28,52
677,289.5,55.5,0,72,39
677,391.5,147.5,1,154,73
677,398.5,382.5,0,58,98
677,552.5,88.5,0,36,24
677,605.5,109.5,0,60,36
677,641.5,139.5,1,79,78
683,47.5,23.5,0,80,46
683,140.5,65.5,0,41,26
683,150.5,31.5,1,23,31
683,297.5,162.5,0,45,44
683,320.5,183.5,0,32,22
683,395.5,255.5,1,52,66
683,584.5,435.5,0,37,40
687,0.5,13.5,1,89,188
687,685.5,135.5,0,35,121
688,60.5,153.5,0,42,27
688,87.5,156.5,1,47,39
688,115.5,125.5,0,23,23
688,150.5,98.5,0,21,21
688,206.5,64.5,0,55,36
688,359.5,0.5,0,32,33
689,251.5,143.5,1,190,80
689,435.5,90.5,1,251,106
689,543.5,0.5,1,177,94
690,188.5,208.5,1,29,30
690,196.5,228.5,0,50,36
690,308.5,272.5,0,36,29
691,0.5,25.5,0,178,195
691,146.5,3.5,1,86,88
691,255.5,0.5,0,252,176
691,532.5,121.5,1,29,22
691,559.5,110.5,0,39,21
691,641.5,138.5,1,23,29
691,686.5,256.5,0,34,30
693,420.5,277.5,1,78,65
693,469.5,403.5,0,100,41
693,617.5,377.5,1,103,103
695,0.5,82.5,0,51,40
695,1.5,52.5,1,58,45
695,207.5,0.5,0,143,31
696,444.5,111.5,1,21,25
696,536.5,192.5,1,36,31
696,542.5,158.5,1,26,26
696,584.5,222.5,1,28,28
697,205.5,197.5,1,27,22
697,637.5,92.5,0,29,29
698,426.5,393.5,1,187,87
699,0.5,253.5,0,38,25
700,295.5,34.5,0,46,33
702,4.5,113.5,0,119,27
704,294.5,209.5,1,30,21
704,340.5,226.5,0,68,39
705,519.5,402.5,0,42,21
706,448.5,104.5,0,109,49
706,677.5,159.5,1,39,28
707,140.5,247.5,0,51,28
707,374.5,269.5,1,215,191
708,24.5,293.5,1,37,30
708,133.5,348.5,1,81,25
708,206.5,345.5,1,86,72
708,435.5,406.5,0,119,26
709,0.5,393.5,0,118,87
709,84.5,159.5,1,72,102
709,197.5,263.5,0,65,23
709,269.5,230.5,0,23,25
709,339.5,262.5,0,37,24
709,357.5,254.5,1,116,66
709,517.5,310.5,0,95,43
709,687.5,276.5,0,33,50
710,463.5,74.5,1,31,31
710,502.5,106.5,0,49,29
710,512.5,169.5,0,99,45
710,550.5,124.5,1,33,23
710,619.5,428.5,0,101,52
710,652.5,214.5,1,24,26
710,690.5,201.5,0,30,46
710,695.5,267.5,0,25,39
711,386.5,29.5,1,34,24
711,430.5,19.5,0,37,22
712,78.5,194.5,0,36,24
713,127.5,128.5,0,32,22
713,183.5,121.5,0,40,22
713,192.5,169.5,1,169,35
713,210.5,123.5,1,42,37
713,282.5,99.5,1,78,30
713,418.5,161.5,1,194,27
713,598.5,101.5,0,34,31
713,628.5,112.5,0,43,31
714,533.5,101.5,0,133,63
714,664.5,52.5,1,49,28
715,576.5,60.5,0,22,24
716,59.5,218.5,1,44,21
716,72.5,195.5,0,29,28
716,100.5,179.5,1,40,32
716,161.5,173.5,0,27,21
716,348.5,86.5,1,72,50
717,308.5,211.5,0,56,25
717,363.5,200.5,1,100,55
717,481.5,162.5,0,38,30
717,608.5,280.5,1,28,22
717,662.5,183.5,0,58,56
719,0.5,317.5,1,155,66
719,181.5,250.5,1,69,25
719,484.5,229.5,1,77,28
719,647.5,219.5,1,27,25
720,176.5,129.5,1,40,30
721,141.5,129.5,0,224,256
721,574.5,247.5,1,60,25
721,615.5,314.5,0,43,41
721,662.5,251.5,0,30,38
723,645.5,34.5,0,75,82
725,138.5,77.5,1,31,24
725,180.5,81.5,0,41,26
725,367.5,73.5,0,92,44
725,658.5,167.5,0,43,23
726,0.5,382.5,1,43,30
726,4.5,363.5,0,182,117
726,254.5,408.5,1,47,47
726,289.5,346.5,1,28,21
726,329.5,343.5,1,32,21
726,366.5,308.5,1,61,41
727,140.5,85.5,0,21,21
727,249.5,204.5,0,88,30
730,0.5,241.5,1,32,35
730,0.5,281.5,0,68,107
730,560.5,195.5,0,87,25
733,565.5,142.5,0,41,30
734,657.5,211.5,1,54,68
735,194.5,281.5,0,104,46
735,518.5,184.5,0,57,53
736,485.5,116.5,1,34,23
737,463.5,157.5,0,52,29
737,584.5,216.5,0,136,169
739,61.5,301.5,1,41,30
739,157.5,313.5,0,77,36
741,20.5,207.5,1,116,83
741,145.5,212.5,0,30,22
741,185.5,267.5,0,25,29
741,207.5,210.5,1,82,28
741,609.5,135.5,0,72,45
742,0.5,434.5,0,151,46
742,47.5,225.5,0,253,140
742,188.5,77.5,0,40,34
742,219.5,188.5,1,228,142
742,280.5,78.5,1,83,36
742,424.5,145.5,1,44,42
742,466.5,140.5,1,151,76
742,589.5,59.5,0,60,48
743,22.5,204.5,0,57,30
744,103.5,229.5,0,56,31
744,202.5,161.5,1,38,29
744,298.5,146.5,0,61,27
745,19.5,317.5,1,76,69
745,127.5,328.5,0,80,33
745,293.5,205.5,1,114,119
745,568.5,186.5,0,103,33
746,58.5,79.5,1,104,61
746,272.5,114.5,0,73,55
746,435.5,170.5,1,105,53
746,583.5,161.5,0,32,27
748,197.5,12.5,1,86,43
750,574.5,232.5,0,119,37
751,520.5,0.5,1,49,42
751,605.5,83.5,1,32,30
752,410.5,156.5,1,31,25
752,560.5,138.5,1,68,29
753,304.5,157.5,1,34,28
754,0.5,173.5,0,170,88
754,470.5,95.5,1,30,22
755,2.5,161.5,0,38,31
755,62.5,168.5,0,62,63
755,332.5,253.5,0,75,22
756,209.5,181.5,1,63,50
756,248.5,201.5,0,100,45
756,344.5,164.5,0,62,39
757,161.5,0.5,0,77,38
757,395.5,128.5,1,77,47
758,3.5,154.5,0,85,83
758,115.5,139.5,1,57,53
758,138.5,118.5,1,34,21
758,158.5,96.5,1,45,23
758,307.5,37.5,1,25,21
758,652.5,5.5,0,68,31
759,202.5,21.5,0,140,51
759,401.5,120.5,1,82,47
759,496.5,72.5,0,49,34
759,664.5,164.5,0,27,21
759,676.5,168.5,0,42,24
762,44.5,199.5,1,49,22
762,164.5,205.5,0,29,25
762,465.5,367.5,0,54,21
762,684.5,412.5,1,36,53
763,9.5,253.5,0,52,44
763,54.5,258.5,0,133,68
763,184.5,183.5,1,250,190
763,434.5,272.5,0,108,33
763,539.5,161.5,1,181,166
764,557.5,150.5,0,25,21
767,452.5,36.5,0,42,34
769,0.5,103.5,1,57,52
769,131.5,182.5,0,64,35
769,240.5,224.5,0,31,28
769,619.5,405.5,0,41,43
770,100.5,206.5,0,27,21
771,145.5,194.5,1,59,24
771,539.5,86.5,1,34,42
773,78.5,161.5,1,71,61
773,423.5,60.5,1,69,58
773,491.5,83.5,0,30,23
773,574.5,48.5,0,60,49
773,641.5,77.5,0,36,23
774,229.5,283.5,1,53,40
774,231.5,279.5,0,25,24
774,264.5,234.5,1,38,24
774,270.5,302.5,0,33,31
774,357.5,173.5,1,34,27
774,447.5,159.5,0,102,55
775,0.5,121.5,1,53,73
775,255.5,13.5,0,30,22
775,354.5,58.5,1,84,26
775,406.5,40.5,0,77,22
776,565.5,264.5,1,32,26
778,46.5,91.5,0,75,46
778,385.5,93.5,1,57,26
778,430.5,153.5,1,81,23
778,489.5,100.5,1,70,51
778,699.5,146.5,1,21,47
779,192.5,436.5,1,73,44
779,207.5,328.5,0,120,62
779,210.5,396.5,1,116,70
780,0.5,36.5,0,25,80
780,278.5,129.5,0,133,47
780,357.5,110.5,0,67,39
780,527.5,167.5,1,75,76
780,600.5,180.5,0,43,76
780,644.5,185.5,0,54,62
783,565.5,228.5,0,89,98
784,533.5,285.5,1,187,53
786,521.5,137.5,0,94,67
786,699.5,272.5,1,21,64
791,570.5,28.5,1,30,33
791,653.5,74.5,1,33,29
792,177.5,41.5,1,64,22
792,209.5,152.5,0,115,189
793,0.5,79.5,0,92,38
793,0.5,160.5,1,34,91
793,28.5,158.5,0,162,110
793,425.5,187.5,0,60,44
793,588.5,209.5,0,96,87
794,299.5,129.5,1,54,45
794,477.5,162.5,0,74,37
794,491.5,201.5,0,113,43
794,605.5,235.5,1,75,32
794,678.5,455.5,0,42,25
795,0.5,37.5,0,154,200
795,261.5,146.5,1,45,46
795,307.5,451.5,0,46,29
795,347.5,316.5,1,373,164
795,532.5,184.5,0,23,24
796,0.5,313.5,0,43,48
796,439.5,175.5,1,22,25
796,594.5,116.5,0,28,22
797,0.5,375.5,0,233,105
797,387.5,150.5,0,99,42
797,644.5,167.5,0,76,31
798,0.5,141.5,1,39,41
798,141.5,173.5,1,41,34
800,654.5,95.5,1,66,27
801,152.5,123.5,1,28,21
801,236.5,121.5,0,48,30
801,312.5,112.5,0,38,29
801,416.5,133.5,0,52,24
801,548.5,286.5,1,45,45
801,599.5,181.5,0,120,53
801,622.5,127.5,1,75,57
803,250.5,192.5,0,23,26
804,261.5,53.5,1,70,26
804,607.5,148.5,0,26,30
805,245.5,50.5,1,150,83
805,332.5,23.5,0,40,22
805,604.5,154.5,1,113,95
807,512.5,275.5,0,35,23
811,371.5,153.5,1,177,54
811,413.5,62.5,0,31,24
811,545.5,73.5,1,123,125
812,37.5,368.5,1,57,32
812,117.5,270.5,1,57,28
812,203.5,298.5,1,227,114
812,278.5,235.5,1,76,30
812,300.5,266.5,0,81,58
812,302.5,208.5,1,74,38
812,435.5,154.5,0,55,33
812,489.5,124.5,0,47,29
812,576.5,138.5,0,116,65
812,596.5,67.5,1,37,42
815,0.5,441.5,0,238,39
818,98.5,70.5,0,52,30
818,332.5,116.5,0,46,21
818,379.5,115.5,1,37,32
818,462.5,135.5,0,27,27
818,506.5,218.5,1,60,33
818,511.5,139.5,1,49,42
818,622.5,212.5,1,26,21
819,490.5,304.5,1,32,21
819,515.5,305.5,0,35,39
819,583.5,369.5,0,27,29
823,506.5,110.5,1,32,21
826,113.5,237.5,0,78,32
826,171.5,245.5,0,250,215
826,429.5,107.5,0,52,38
828,197.5,0.5,1,523,480
829,0.5,211.5,0,102,54
829,224.5,159.5,0,316,168
829,655.5,238.5,1,65,25
830,159.5,309.5,0,52,35
830,398.5,192.5,0,23,24
831,0.5,268.5,1,169,149
831,694.5,38.5,0,24,28
833,360.5,52.5,1,31,33
833,626.5,19.5,0,22,21
835,680.5,377.5,0,40,22
836,357.5,248.5,1,24,21
839,284.5,224.5,0,45,31
839,588.5,207.5,0,55,43
839,641.5,209.5,0,34,42
839,656.5,211.5,0,64,96
840,159.5,271.5,1,35,24
841,696.5,133.5,1,24,44
842,20.5,271.5,1,109,60
842,148.5,363.5,1,572,117
842,259.5,246.5,0,49,26
842,395.5,317.5,0,85,48
843,0.5,152.5,0,216,155
843,146.5,31.5,1,87,66
843,215.5,33.5,0,102,70
843,535.5,3.5,1,171,85
843,688.5,66.5,0,29,28
844,226.5,75.5,1,99,32
844,413.5,57.5,0,43,25
844,627.5,143.5,1,54,42
845,388.5,147.5,0,34,22
845,420.5,142.5,1,97,42
845,562.5,180.5,0,77,24
845,632.5,159.5,1,30,24
846,8.5,175.5,0,37,25
846,42.5,194.5,1,97,27
846,422.5,95.5,1,42,25
847,21.5,356.5,1,38,23
847,45.5,314.5,1,35,32
847,118.5,259.5,1,53,67
847,439.5,154.5,0,101,63
847,533.5,30.5,1,62,61
847,603.5,44.5,0,26,33
850,218.5,92.5,0,22,25
850,513.5,227.5,0,23,22
851,40.5,165.5,1,67,53
851,360.5,351.5,0,154,79
851,421.5,170.5,0,34,24
851,492.5,243.5,0,227,220
851,500.5,149.5,1,138,79
851,699.5,237.5,0,21,167
856,78.5,303.5,1,181,52
856,253.5,253.5,1,78,68
856,332.5,236.5,1,88,80
856,488.5,189.5,1,64,45
856,578.5,211.5,0,59,22
856,699.5,198.5,0,21,28
857,671.5,309.5,1,49,32
858,333.5,105.5,0,200,196
860,43.5,128.5,0,27,25
860,92.5,111.5,0,26,26
860,342.5,69.5,1,58,21
861,178.5,173.5,0,44,34
861,499.5,262.5,0,22,23
863,505.5,84.5,1,26,22
863,623.5,138.5,0,61,43
864,131.5,73.5,0,85,61
864,395.5,113.5,1,116,92
866,38.5,77.5,0,47,30
866,89.5,44.5,1,42,26
866,134.5,30.5,0,36,25
867,0.5,121.5,0,111,95
867,0.5,149.5,1,29,81
867,682.5,81.5,0,38,68
869,312.5,266.5,0,79,21
869,473.5,276.5,0,90,25
869,671.5,308.5,0,49,89
871,22.5,89.5,1,37,22
871,98.5,87.5,1,46,24
871,244.5,23.5,1,135,111
871,378.5,93.5,1,77,87
871,488.5,48.5,0,48,26
871,595.5,125.5,0,125,56
871,669.5,105.5,0,51,26
871,694.5,67.5,1,26,37
872,0.5,0.5,0,111,40
872,162.5,0.5,1,96,51
872,382.5,36.5,0,104,64
874,225.5,0.5,1,89,22
874,544.5,39.5,0,27,25
875,388.5,312.5,1,60,34
875,662.5,198.5,0,58,45
878,154.5,266.5,1,68,26
878,245.5,178.5,0,85,85
